DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX
2426.375,89.89587644,19,2.512,135,6.03,6.48,160.6578782
2426.5,91.69010217,19.6,2.508,135,5.78,6.22,165.2844366
2426.625,94.45347159,20.2,2.493,135,5.57,6,168.8817135
2426.75,95.31028287,20.6,2.47,137,5.43,5.83,171.3214422
2426.875,95.24853602,20.8,2.45,140,5.43,5.81,172.7307862
2427,94.66844987,20.7,2.442,140,5.66,6.02,173.1319838
2427.125,93.56201909,20.3,2.447,137,6.11,6.45,172.5534869
2427.25,91.29356437,19.6,2.463,131,6.68,7.02,171.0124764
2427.375,90.10486555,19,2.481,125,7.21,7.55,168.7689446
2427.5,89.08734272,18.7,2.497,123,7.56,7.9,166.2849986
2427.625,88.50618287,18.6,2.507,124,7.62,7.97,163.8765256
2427.75,88.54213773,18.6,2.515,125,7.48,7.82,161.8772466
2427.875,89.20161424,18.9,2.523,123,7.27,7.57,160.599294
2428,90.13870413,19.3,2.53,121,7.08,7.32,160.3595467
2428.125,90.7642481,19.6,2.532,120,6.92,7.09,161.0141411
2428.25,91.59821969,19.6,2.528,123,6.76,6.87,162.2764945
2428.375,92.33838346,19.4,2.518,128,6.52,6.59,163.9290248
2428.5,92.91090912,19.3,2.504,131,6.21,6.26,165.7338568
2428.625,94.01171293,19.5,2.493,130,5.92,5.94,167.4384991
2428.75,94.6100876,19.6,2.488,128,5.74,5.73,168.8088392
2428.875,94.76189993,19.4,2.489,128,5.67,5.64,169.8212381
2429,94.44752776,18.8,2.493,132,5.65,5.61,170.4752978
2429.125,93.65342539,18.4,2.492,134,5.64,5.59,170.8855358
2429.25,92.48261955,18.1,2.486,134,5.64,5.58,171.2332963
2429.375,91.61565761,18.1,2.486,133,5.64,5.56,171.6965509
2429.5,91.01376063,18,2.5,134,5.6,5.5,172.345865
2429.625,90.66002178,18,2.528,136,5.52,5.41,173.097136
2429.75,90.46898602,17.9,2.559,138,5.4,5.29,173.8482054
2429.875,90.6129502,18.1,2.581,139,5.24,5.14,174.5130189
2430,91.62502894,18.7,2.585,138,5.05,4.97,175.0477034
2430.125,93.53964508,19.5,2.571,138,4.93,4.84,175.5424541
2430.25,95.24430079,20.4,2.541,140,4.91,4.8,176.3326439
2430.375,97.03796877,20.9,2.506,143,5.04,4.89,177.5227899
2430.5,98.54114888,21.3,2.477,146,5.26,5.08,179.1977152
2430.625,99.43632539,21.6,2.457,147,5.47,5.28,181.3925988
2430.75,100.8680019,21.5,2.447,145,5.57,5.4,184.0663193
2430.875,102.3321349,21.1,2.444,142,5.55,5.4,186.9900077
2431,103.1956376,21.3,2.445,139,5.44,5.32,190.0842825
2431.125,103.5421937,22.4,2.448,138,5.33,5.22,193.1608156
2431.25,103.6010867,24.1,2.451,137,5.25,5.14,195.9903285
2431.375,103.6117264,25,2.454,139,5.21,5.08,198.3377565
2431.5,103.0794101,24.8,2.458,140,5.18,5.04,199.9398726
