DEPTH,GR,CNL,DT,DEN,MSFL,RS,RD,Well Name,Facies
2351.4000,130.4820,20.2251,93.7235,2.4742,5.7396,5.4374,6.1836,1,3
2351.4200,130.1869,20.2823,93.5826,2.4793,5.6875,5.4515,6.2030,1,3
2351.4400,129.9330,20.3342,93.4123,2.4842,5.6139,5.4661,6.2228,1,3
2351.4600,129.7181,20.3791,93.2361,2.4891,5.5420,5.4807,6.2422,1,3
2351.4800,129.5421,20.4170,93.0550,2.4940,5.4730,5.4955,6.2610,1,3
2351.5000,129.4062,20.4472,92.8712,2.4990,5.4114,5.5102,6.2790,1,3
2351.5200,129.3107,20.4694,92.6854,2.5041,5.3592,5.5250,6.2960,1,3
2351.5400,129.2512,20.4845,92.5060,2.5093,5.3162,5.5396,6.3123,1,3
2351.5600,129.2167,20.4945,92.3534,2.5147,5.2823,5.5539,6.3283,1,3
2351.5800,129.2069,20.4996,92.2290,2.5203,5.2575,5.5678,6.3440,1,3
2351.6000,129.2218,20.5000,92.1408,2.5260,5.2422,5.5814,6.3597,1,3
2351.6200,129.2617,20.4956,92.0922,2.5319,5.2365,5.5946,6.3753,1,3
2351.6400,129.3177,20.4876,92.0703,2.5379,5.2399,5.6073,6.3907,1,3
2351.6600,129.3681,20.4784,92.0437,2.5442,5.2511,5.6194,6.4055,1,3
2351.6800,129.4119,20.4682,92.0106,2.5507,5.2701,5.6308,6.4197,1,3
2351.7000,129.4446,20.4566,91.9646,2.5574,5.2970,5.6415,6.4333,1,3
2351.7200,129.4644,20.4434,91.9032,2.5643,5.3318,5.6515,6.4462,1,3
2351.7400,129.4706,20.4320,91.8269,2.5715,5.3734,5.6608,6.4582,1,3
2351.7600,129.4613,20.4311,91.7374,2.5788,5.4195,5.6692,6.4691,1,3
2351.7800,129.4362,20.4412,91.6345,2.5862,5.4698,5.6766,6.4789,1,3
2351.8000,129.3938,20.4649,91.5145,2.5937,5.5253,5.6831,6.4874,1,3
2351.8200,129.3334,20.5033,91.3760,2.6014,5.5863,5.6886,6.4947,1,3
2351.8400,129.2583,20.5535,91.2316,2.6091,5.6480,5.6931,6.5007,1,3
2351.8600,129.1767,20.6085,91.1124,2.6166,5.6992,5.6970,6.5058,1,3
2351.8800,129.0891,20.6680,91.0202,2.6239,5.7391,5.7002,6.5099,1,3
2351.9000,128.9964,20.7314,90.9645,2.6308,5.7647,5.7027,6.5130,1,3
2351.9200,128.8991,20.7985,90.9492,2.6374,5.7749,5.7046,6.5151,1,3
2351.9400,128.7994,20.8667,90.9632,2.6437,5.7717,5.7059,6.5165,1,3
2351.9600,128.7028,20.9295,90.9790,2.6494,5.7601,5.7072,6.5177,1,3
2351.9800,128.6096,20.9865,90.9953,2.6545,5.7403,5.7085,6.5186,1,3
2352.0000,128.5217,21.0365,91.0061,2.6590,5.7120,5.7098,6.5196,1,3
2352.0200,128.4398,21.0791,91.0092,2.6629,5.6750,5.7111,6.5206,1,3
2352.0400,128.3618,21.1136,91.0066,2.6662,5.6337,5.7126,6.5218,1,3
2352.0600,128.2819,21.1383,91.0038,2.6688,5.5991,5.7143,6.5236,1,3
2352.0800,128.2001,21.1531,91.0009,2.6707,5.5718,5.7163,6.5261,1,3
2352.1000,128.1156,21.1575,90.9987,2.6719,5.5544,5.7186,6.5294,1,3
2352.1200,128.0283,21.1513,90.9976,2.6724,5.5481,5.7212,6.5335,1,3
2352.1400,127.9363,21.1347,90.9974,2.6721,5.5515,5.7243,6.5385,1,3
2352.1600,127.8347,21.1079,90.9979,2.6711,5.5610,5.7283,6.5446,1,3
2352.1800,127.7234,21.0709,90.9992,2.6695,5.5765,5.7331,6.5520,1,3
2352.2000,127.6010,21.0231,91.0016,2.6672,5.5978,5.7388,6.5605,1,3
2352.2200,127.4671,20.9644,91.0055,2.6642,5.6249,5.7454,6.5703,1,3
