DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX,sample_weight
2732.5,75.05921004,11.6,2.63,140,6.45,6.43,145.3866406,0.9999603536372079
2732.625,74.8865378,11.6,2.633,139,6.4,6.39,144.3402698,0.999972779142303
2732.75,74.15807139,11.5,2.637,138,6.38,6.37,142.5199091,0.9999995584642676
2732.875,73.06633878,11.1,2.641,138,6.52,6.49,140.1479124,0.9999807003830764
2733.0,71.90122789,10.5,2.645,136,6.97,6.87,137.4475484,0.9999968618865631
2733.125,70.93923668,9.7,2.644,132,7.8,7.6,134.6167636,0.9999999165876683
2733.25,69.84925965,9.1,2.639,125,8.8,8.51,131.9905333,0.9999956326997828
2733.375,68.70364738,8.7,2.633,117,9.69,9.38,129.4095024,0.99999907809644
2733.5,67.83586667,8.4,2.627,113,10.31,10.08,126.7859005,0.9999835818121743
2733.625,66.97480925,8.0,2.623,112,10.81,10.67,124.252265,0.999998232016651
2733.75,65.69325761,7.4,2.621,110,11.46,11.33,121.9549307,0.999997786718988
2733.875,63.89978648,6.8,2.624,105,12.9,12.61,119.7817024,0.9999976081751324
2734.0,63.80941555,6.4,2.632,96,15.67,15.09,118.0326219,0.9999955421190063
2734.125,64.20844803,6.4,2.641,88,19.51,18.62,116.7299138,0.9999998321837168
2734.25,64.50544259,7.0,2.645,87,22.15,21.21,115.9950107,0.9999999674789727
2734.375,64.77075591,7.7,2.642,95,21.69,21.0,115.9671961,0.9999978158956286
2734.5,65.64305938,8.6,2.632,108,18.0,17.73,116.7798459,0.9999886931087401
2734.625,66.90642881,9.4,2.622,121,13.42,13.49,118.5729069,0.9999794477946591
2734.75,69.00684862,10.1,2.617,130,9.88,10.15,121.2103693,0.9999906461670505
2734.875,70.37122835,10.3,2.62,134,8.05,8.39,124.2000325,0.9998657786147219
2735.0,70.99384803,10.1,2.629,134,7.4,7.72,127.1996879,0.9997604862953462
2735.125,71.27215512,9.8,2.64,134,7.43,7.7,129.8927177,0.9997036334210622
2735.25,71.26690577,9.6,2.647,133,7.74,8.0,131.9178161,0.9997047617087635
2735.375,71.22107146,9.5,2.651,132,8.0,8.3,132.9237195,0.9997145218889852
2735.5,71.1615376,9.4,2.651,131,8.1,8.49,133.2827531,0.9997269544889151
2735.625,71.08362467,9.5,2.649,130,8.1,8.54,133.1538294,0.9997428072598433
2735.75,70.8923502,9.6,2.643,129,8.11,8.57,132.6897436,0.9997797156823607
2735.875,70.50280295,9.5,2.636,128,8.18,8.65,132.0322626,0.9998460502761727
2736.0,70.46712382,9.4,2.63,128,8.32,8.78,131.3175316,0.9998515336093263
2736.125,70.87987526,9.5,2.625,128,8.51,8.94,130.2305508,0.9997820236347601
2736.25,70.87720906,9.8,2.625,127,8.68,9.06,128.821563,0.9997825153247825
2736.375,70.59423648,9.8,2.628,125,8.79,9.1,127.1296459,0.9998315445650817
2736.5,70.12558392,9.6,2.629,122,8.88,9.12,125.1376155,0.9998989924219713
2736.625,69.01739823,9.1,2.625,119,9.15,9.28,122.7081535,0.9999902385104983
2736.75,67.70856555,8.4,2.618,115,9.83,9.84,120.3098097,0.9999744386227927
2736.875,66.76176962,7.7,2.615,109,11.18,11.06,117.9641818,0.9998795932137369
2737.0,65.95158346,7.1,2.618,101,13.72,13.38,115.9132406,0.9997428478145883
2737.125,64.97109049,6.8,2.622,93,17.61,16.92,114.4579911,0.9995088300029759
2737.25,63.76578727,6.9,2.624,86,22.55,21.4,113.8663325,0.9991184044069673
