DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX,sample_weight
2694.0,65.87960361,7.8,2.579,93,16.91,16.51,115.2978622,0.9998110683596804
2694.125,65.82396056,7.6,2.573,89,18.06,17.67,114.5657781,0.999801388501892
2694.25,65.82092579,7.3,2.566,87,18.69,18.36,114.2824776,0.9998008536108638
2694.375,66.07517927,7.2,2.559,85,18.86,18.59,114.2432554,0.999843173192838
2694.5,66.10636161,7.2,2.554,82,18.71,18.46,114.2975255,0.9998480158798511
2694.625,66.24067224,7.2,2.55,80,18.45,18.19,114.4109911,0.9998680067424907
2694.75,66.46552789,7.1,2.549,80,18.29,18.0,114.5367946,0.9998983208729014
2694.875,66.34014186,6.9,2.548,78,18.33,18.0,114.6082465,0.9998819038552698
2695.0,66.02337677,6.8,2.548,77,18.53,18.19,114.5600181,0.9998349603057524
2695.125,65.90339672,6.8,2.548,76,18.86,18.57,114.652438,0.9998151337043675
2695.25,65.45960899,6.8,2.546,77,19.35,19.18,114.8636649,0.9997320309737439
2695.375,64.8136998,7.0,2.545,79,20.02,19.91,115.3067386,0.999583608873245
2695.5,64.39440682,7.2,2.546,79,20.61,20.48,116.1661766,0.9994698347682448
2695.625,64.83863255,7.6,2.556,80,20.25,20.11,117.7230171,0.9995899422508514
2695.75,65.64984882,8.1,2.572,83,18.43,18.39,119.8466768,0.9997695377671753
2695.875,66.68051581,8.7,2.589,90,15.37,15.52,122.4886857,0.9999236120194268
2696.0,68.15922913,9.0,2.601,101,12.16,12.46,125.4218051,0.9999997482273378
2696.125,69.89699291,9.3,2.607,115,9.73,10.1,128.4132421,0.9999157421127641
2696.25,71.40216352,9.7,2.609,129,8.35,8.68,131.2668957,0.9996545935364406
2696.375,72.83457822,10.2,2.613,135,7.78,8.05,133.8510492,0.999241873869241
2696.5,73.58208701,10.6,2.621,134,7.7,7.91,136.0147439,0.9989629740368303
2696.625,73.89318727,10.9,2.63,132,7.79,8.0,138.0232362,0.9988340740052891
2696.75,74.13674843,11.2,2.635,132,7.72,7.97,139.9170858,0.998727899051818
2696.875,74.66788169,11.6,2.635,134,7.41,7.73,141.6983681,0.9984803541221436
2697.0,75.70995846,12.2,2.636,137,6.95,7.31,143.3980072,0.9979309435276009
2697.125,76.23285709,12.6,2.639,141,6.53,6.92,144.7475085,0.997623481073129
2697.25,76.19633839,12.5,2.646,144,6.26,6.67,145.4487504,0.9976456430489461
2697.375,75.7440977,12.2,2.65,145,6.29,6.7,145.3574688,0.9979115173205889
2697.5,74.75637126,11.7,2.652,141,6.63,7.01,144.4577098,0.9984369793518385
2697.625,73.09163209,11.2,2.651,134,7.2,7.55,142.8516697,0.9991508773532924
2697.75,71.56481122,10.7,2.65,127,7.86,8.19,140.7389728,0.9996157857399329
2697.875,70.89501791,10.2,2.651,123,8.49,8.84,138.4753898,0.9997623425329769
2698.0,70.34935413,9.8,2.654,123,8.97,9.34,136.5646486,0.9998558504941943
2698.125,70.04067047,9.6,2.656,125,9.13,9.53,135.0767682,0.9998984514150748
2698.25,70.06446594,9.6,2.656,128,8.94,9.37,134.0140582,0.99989543215594
2698.375,70.24175157,9.9,2.652,130,8.54,8.95,133.4060685,0.9998715454194654
2698.5,70.40169252,10.1,2.645,132,8.21,8.55,132.9155829,0.9998478895534436
2698.625,70.71306752,10.1,2.637,134,8.08,8.3,132.0407276,0.9997961061251954
2698.75,70.79622598,10.1,2.63,133,8.2,8.29,130.6870888,0.9997809955418032
2698.875,70.47474062,9.9,2.624,130,8.57,8.56,128.7240869,0.999836420939749
2699.0,69.76135899,9.6,2.621,125,9.31,9.19,126.1244329,0.9999305853364814
2699.125,68.92515492,9.0,2.617,120,10.62,10.33,123.3087341,0.9999903564414612
2699.25,67.96533497,8.4,2.611,114,12.47,11.95,120.502228,0.9999916279286156
2699.375,66.98892749,8.0,2.599,105,14.97,14.2,117.738165,0.9999190751506504
2699.5,65.68393661,7.6,2.586,93,18.38,17.3,115.1755559,0.9997058453414687
2699.625,64.26632927,7.1,2.575,82,22.47,21.12,112.9327982,0.9993235919837606
2699.75,63.59844633,6.6,2.571,75,26.59,25.21,111.05566,0.9990891894578776
2699.875,63.19572323,6.1,2.571,71,30.06,28.8,109.8713589,0.9989310506877679
2700.0,62.91241837,5.8,2.573,69,32.68,31.49,109.9660899,0.998812236312235
2700.125,62.93086686,5.7,2.576,69,33.54,32.37,111.3813517,0.9988201635809216
2700.25,63.67131811,6.0,2.58,70,31.38,30.39,114.0535358,0.9991164543528964
2700.375,65.45438222,6.6,2.588,74,25.95,25.4,117.8414283,0.9996545862993762
2700.5,68.07355873,7.7,2.601,85,18.95,18.85,122.6569631,0.9999950846537118
2700.625,71.28169823,9.1,2.613,102,13.07,13.24,127.9757179,0.9999131173167792
2700.75,74.59498058,10.6,2.617,121,9.28,9.56,133.3244385,0.999870350918886
2700.875,76.69853209,11.9,2.614,136,7.22,7.51,138.447388,0.9999951157541885
2701.0,77.88690256,13.0,2.609,145,6.07,6.33,143.1088159,0.9999727803624747
2701.125,79.81886273,13.9,2.605,150,5.51,5.75,147.0819188,0.9999993676236618
